symbol,famtyp,ipoage,firmage,assets,famstyle,ceoname,ceo_fam,beceo,tenure,ceopattern,duality,ceo_own,ins_own,secfifshare,firstshare,control_own,power_dev
2264,3,11,12,3018611048,1,____,nofamily,2017,2,0,1,0,47.200001,24.77,28.49,43.612301,0.9522
2266,1,11,15,7647427871,1,æ½__ä¸,nofamily,2016,3,1,0,0,5.2677999,8.2399998,21.43,21.43,1
2269,3,11,19,6377798596,1,_¡ä½³ä½,family,2016,3,1,1,8.96,66.314598,17.33,50.650002,49.130501,0.97000003
2270,3,11,17,3842266393,2,___,family,2016,3,1,1,0,48.082199,16.620001,33.34,33.34,1
2271,3,11,21,22415660189,1,å¼___,nofamily,2019,0,1,0,0.079999998,28.2481,18.219999,28.299999,29.09,1
2272,3,11,12,1853929300,1,ç½_°¸å¿,family,2016,3,1,1,6.0799999,5.0481,17.74,17.99,33.330002,1
2273,3,11,13,6391374596,1,___å®,nofamily,2018,1,0,0,0,40.6572,15.9,10.71,9.1035004,0.85000002
2274,2,11,15,6645224022,2,_¡æ³¢,family,2007,12,1,0,0,47.708099,15.52,31.59,4.1794,0.3159
2275,3,10,18,3415617789,1,__é£,nofamily,2007,12,1,0,1,63.926399,12.69,61.790001,,
2276,3,10,23,7597902190,1,å­__çº,nofamily,2018,1,0,0,0,28.2251,14.46,25.41,37.459999,1
2277,3,10,15,15986201498,1,____,nofamily,2007,12,1,0,0,36.581902,9.2299995,32.02,19.668301,0.61430001
2279,3,10,18,3036280249,1,_½ç_ä¸,nofamily,2012,7,1,0,0.5,18.638399,25.799999,14.09,33.0201,0.98890001
2280,1,10,17,8885346870,2,ä½__æ¶,family,2015,4,0,1,23.530001,16.9039,17.07,23.530001,23.530001,1
2282,3,10,12,2740242046,1,åº__,family,2018,1,0,0,0,2.3831999,35.709999,11.72,45.619999,1
2283,2,10,12,6817874490,1,å¾__é£,family,2011,8,1,0,0.95999998,15.6128,18.459999,15.52,33.942299,
2284,3,10,19,5903044746,1,_½å_é¾,nofamily,2018,1,1,0,0,40.027802,9.7799997,38.82,25.985201,0.55040002
2285,3,10,26,11666786818,1,_±æ_,nofamily,2013,6,1,0,0.1,61.370399,19.610001,39.509998,39.619801,0.98040003
2286,3,10,22,2518761747,2,__´ªæ³,nofamily,2019,0,0,0,0,29.2124,31.620001,15.05,25.59,1
2287,1,10,12,2984122442,1,____,nofamily,2010,9,1,0,0.090000004,90.669601,21.99,68.760002,84.920303,0.97250003
2288,3,10,15,3204187062,1,æ¢__,family,2019,0,1,1,0.11,15.1428,20.950001,18.43,23.74,1
2289,1,10,12,411619641.3,2,_¨ç_,nofamily,2019,0,0,1,0,29.190001,24.1,15.3,29.190001,1
2290,1,10,17,1521299190,2,___,nofamily,2019,0,1,0,0,32,30.459999,32,32,1
2291,3,10,17,5291412166,1,äº_´ªæ¶,nofamily,2018,1,1,1,0,39.651901,35.299999,17.700001,29.2784,0.9095
2292,3,10,12,6244085028,1,_¡ä__,family,2019,0,1,1,42.689999,16.6402,17.08,42.689999,54.919998,1
2293,3,10,12,5370501601,1,____,family,2018,1,1,0,0.029999999,47.484501,33.73,16.540001,17.898001,0.55449998
2294,3,10,12,7733296206,1,Kevin Sing Ye,family,2007,12,1,0,0,74.6772,6.4200001,65.730003,67.662903,0.99680001
2295,2,10,14,2036516467,2,__,nofamily,2019,0,1,0,0.059999999,48.771,18.620001,30,14.679,0.48930001
2296,1,10,18,1867276002,1,è°¢æ__,nofamily,2014,5,1,0,5.8899999,0.96670002,12.4,9.3100004,9.3100004,1
2298,1,10,21,7125538783,1,_¿æ´ªæ¡,family,2016,3,1,1,16.540001,14.4676,22.030001,16.540001,20.7663,0.99980003
2299,3,10,13,15278798549,1,____,family,2018,1,1,0,0.87,67.208801,19.27,45.549999,49.834999,0.99730003
